city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Flagstaff,"{'concentration': 213.62, 'aqi': 2}","{'concentration': 6.17, 'aqi': 7}","{'concentration': 46.49, 'aqi': 39}","{'concentration': 0.01, 'aqi': 0}","{'concentration': 0.99, 'aqi': 3}","{'concentration': 1.51, 'aqi': 1}",39
Overland Park,"{'concentration': 333.79, 'aqi': 3}","{'concentration': 18.51, 'aqi': 23}","{'concentration': 24.68, 'aqi': 20}","{'concentration': 0.27, 'aqi': 0}","{'concentration': 4.5, 'aqi': 14}","{'concentration': 8.2, 'aqi': 7}",23
Waldorf,"{'concentration': 223.64, 'aqi': 2}","{'concentration': 3.73, 'aqi': 4}","{'concentration': 55.08, 'aqi': 46}","{'concentration': 0.77, 'aqi': 1}","{'concentration': 1.38, 'aqi': 4}","{'concentration': 2.5, 'aqi': 2}",46
Warren,"{'concentration': 333.79, 'aqi': 3}","{'concentration': 20.91, 'aqi': 26}","{'concentration': 38.98, 'aqi': 33}","{'concentration': 2.5, 'aqi': 3}","{'concentration': 5.23, 'aqi': 16}","{'concentration': 7.38, 'aqi': 6}",33
Chino Hills,"{'concentration': 1081.47, 'aqi': 12}","{'concentration': 112.41, 'aqi': 118}","{'concentration': 0, 'aqi': 0}","{'concentration': 11.8, 'aqi': 17}","{'concentration': 61.55, 'aqi': 142}","{'concentration': 82.45, 'aqi': 64}",142
Missoula,"{'concentration': 337.12, 'aqi': 3}","{'concentration': 14.74, 'aqi': 18}","{'concentration': 22.17, 'aqi': 18}","{'concentration': 0.07, 'aqi': 0}","{'concentration': 3.05, 'aqi': 9}","{'concentration': 3.24, 'aqi': 3}",18
Camden,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 15.94, 'aqi': 19}","{'concentration': 52.21, 'aqi': 44}","{'concentration': 3.61, 'aqi': 5}","{'concentration': 2.17, 'aqi': 7}","{'concentration': 3.38, 'aqi': 3}",44
Bakersfield,"{'concentration': 383.85, 'aqi': 4}","{'concentration': 14.4, 'aqi': 18}","{'concentration': 34.69, 'aqi': 29}","{'concentration': 0.19, 'aqi': 0}","{'concentration': 24.6, 'aqi': 68}","{'concentration': 31.38, 'aqi': 29}",68
Garland,"{'concentration': 380.52, 'aqi': 4}","{'concentration': 36.67, 'aqi': 45}","{'concentration': 45.78, 'aqi': 38}","{'concentration': 4.41, 'aqi': 6}","{'concentration': 8.45, 'aqi': 27}","{'concentration': 12.3, 'aqi': 11}",45
Sugar Land,"{'concentration': 387.19, 'aqi': 4}","{'concentration': 32.56, 'aqi': 40}","{'concentration': 44.35, 'aqi': 37}","{'concentration': 4.17, 'aqi': 6}","{'concentration': 9.25, 'aqi': 30}","{'concentration': 12.39, 'aqi': 11}",40
Downey,"{'concentration': 1976.01, 'aqi': 22}","{'concentration': 146.69, 'aqi': 137}","{'concentration': 0, 'aqi': 0}","{'concentration': 22.65, 'aqi': 33}","{'concentration': 97.66, 'aqi': 168}","{'concentration': 133.92, 'aqi': 89}",168
Garden Grove,"{'concentration': 674.25, 'aqi': 7}","{'concentration': 52.09, 'aqi': 65}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 3.93, 'aqi': 5}","{'concentration': 29.56, 'aqi': 78}","{'concentration': 48.84, 'aqi': 45}",78
Arlington Heights,"{'concentration': 377.18, 'aqi': 4}","{'concentration': 30.85, 'aqi': 38}","{'concentration': 30.04, 'aqi': 25}","{'concentration': 5.96, 'aqi': 8}","{'concentration': 9.16, 'aqi': 29}","{'concentration': 11.64, 'aqi': 10}",38
Schenectady,"{'concentration': 250.34, 'aqi': 2}","{'concentration': 1.13, 'aqi': 1}","{'concentration': 65.09, 'aqi': 69}","{'concentration': 0.1, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.59, 'aqi': 0}",69
Virginia Beach,"{'concentration': 267.03, 'aqi': 3}","{'concentration': 3.09, 'aqi': 3}","{'concentration': 59.37, 'aqi': 51}","{'concentration': 1.46, 'aqi': 2}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.88, 'aqi': 0}",51
Brownsville,"{'concentration': 317.1, 'aqi': 3}","{'concentration': 14.57, 'aqi': 18}","{'concentration': 65.8, 'aqi': 71}","{'concentration': 3.93, 'aqi': 5}","{'concentration': 3.58, 'aqi': 11}","{'concentration': 6.54, 'aqi': 6}",71
Scottsdale,"{'concentration': 961.3, 'aqi': 10}","{'concentration': 91.85, 'aqi': 106}","{'concentration': 0, 'aqi': 0}","{'concentration': 10.01, 'aqi': 14}","{'concentration': 45.34, 'aqi': 109}","{'concentration': 62.64, 'aqi': 54}",109
Gilbert,"{'concentration': 1348.5, 'aqi': 15}","{'concentration': 97.33, 'aqi': 109}","{'concentration': 0, 'aqi': 0}","{'concentration': 12.4, 'aqi': 18}","{'concentration': 51.23, 'aqi': 121}","{'concentration': 68.81, 'aqi': 57}",121
Farmington Hills,"{'concentration': 300.41, 'aqi': 3}","{'concentration': 12.34, 'aqi': 15}","{'concentration': 47.92, 'aqi': 40}","{'concentration': 1.82, 'aqi': 2}","{'concentration': 4.16, 'aqi': 13}","{'concentration': 5.62, 'aqi': 5}",40
Ann Arbor,"{'concentration': 300.41, 'aqi': 3}","{'concentration': 12, 'aqi': 15}","{'concentration': 48.64, 'aqi': 41}","{'concentration': 3.55, 'aqi': 5}","{'concentration': 5.59, 'aqi': 18}","{'concentration': 6.72, 'aqi': 6}",41
Yuba City,"{'concentration': 427.25, 'aqi': 4}","{'concentration': 24.68, 'aqi': 30}","{'concentration': 9.03, 'aqi': 7}","{'concentration': 0.3, 'aqi': 0}","{'concentration': 9.82, 'aqi': 31}","{'concentration': 11.94, 'aqi': 11}",31
Jacksonville,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 5.18, 'aqi': 6}","{'concentration': 47.92, 'aqi': 40}","{'concentration': 0.51, 'aqi': 0}","{'concentration': 3.78, 'aqi': 12}","{'concentration': 4.84, 'aqi': 4}",40
Sioux City,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 4.58, 'aqi': 5}","{'concentration': 55.08, 'aqi': 46}","{'concentration': 0.13, 'aqi': 0}","{'concentration': 1.69, 'aqi': 5}","{'concentration': 3.26, 'aqi': 3}",46
Pomona,"{'concentration': 694.28, 'aqi': 7}","{'concentration': 94.59, 'aqi': 108}","{'concentration': 18.77, 'aqi': 15}","{'concentration': 12.28, 'aqi': 18}","{'concentration': 53.84, 'aqi': 126}","{'concentration': 69.76, 'aqi': 57}",126
Thousand Oaks,"{'concentration': 467.3, 'aqi': 5}","{'concentration': 46.61, 'aqi': 58}","{'concentration': 31.47, 'aqi': 26}","{'concentration': 3.87, 'aqi': 5}","{'concentration': 17.92, 'aqi': 55}","{'concentration': 29.93, 'aqi': 27}",58
Washington,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 14.74, 'aqi': 18}","{'concentration': 41.13, 'aqi': 34}","{'concentration': 2.8, 'aqi': 4}","{'concentration': 2.32, 'aqi': 7}","{'concentration': 3.88, 'aqi': 3}",34
Portsmouth,"{'concentration': 226.97, 'aqi': 2}","{'concentration': 15.77, 'aqi': 19}","{'concentration': 36.48, 'aqi': 30}","{'concentration': 5.72, 'aqi': 8}","{'concentration': 3.46, 'aqi': 11}","{'concentration': 4.39, 'aqi': 4}",30
Detroit,"{'concentration': 350.48, 'aqi': 3}","{'concentration': 26.05, 'aqi': 32}","{'concentration': 33.98, 'aqi': 28}","{'concentration': 3.79, 'aqi': 5}","{'concentration': 6.35, 'aqi': 20}","{'concentration': 9.02, 'aqi': 8}",32
Edinburg,"{'concentration': 267.03, 'aqi': 3}","{'concentration': 3.09, 'aqi': 3}","{'concentration': 51.5, 'aqi': 43}","{'concentration': 0.84, 'aqi': 1}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.87, 'aqi': 0}",43
Greensboro,"{'concentration': 357.15, 'aqi': 4}","{'concentration': 15.08, 'aqi': 18}","{'concentration': 16.45, 'aqi': 13}","{'concentration': 0.11, 'aqi': 0}","{'concentration': 3.74, 'aqi': 12}","{'concentration': 6.61, 'aqi': 6}",18
Medford,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 3.81, 'aqi': 4}","{'concentration': 38.27, 'aqi': 32}","{'concentration': 0.38, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.85, 'aqi': 0}",32
Colorado Springs,"{'concentration': 447.27, 'aqi': 5}","{'concentration': 29.47, 'aqi': 36}","{'concentration': 37.19, 'aqi': 31}","{'concentration': 0.79, 'aqi': 1}","{'concentration': 16.43, 'aqi': 52}","{'concentration': 20.49, 'aqi': 18}",52
Peoria,"{'concentration': 300.41, 'aqi': 3}","{'concentration': 14.4, 'aqi': 18}","{'concentration': 49.35, 'aqi': 41}","{'concentration': 2.86, 'aqi': 4}","{'concentration': 5.99, 'aqi': 19}","{'concentration': 6.97, 'aqi': 6}",41
Syracuse,"{'concentration': 216.96, 'aqi': 2}","{'concentration': 1.05, 'aqi': 1}","{'concentration': 77.96, 'aqi': 107}","{'concentration': 13.35, 'aqi': 19}","{'concentration': 3.64, 'aqi': 11}","{'concentration': 8.43, 'aqi': 7}",107
Perris,"{'concentration': 460.63, 'aqi': 5}","{'concentration': 43.87, 'aqi': 54}","{'concentration': 38.27, 'aqi': 32}","{'concentration': 5.19, 'aqi': 7}","{'concentration': 21.31, 'aqi': 61}","{'concentration': 34.02, 'aqi': 31}",61
Birmingham,"{'concentration': 223.64, 'aqi': 2}","{'concentration': 8.82, 'aqi': 11}","{'concentration': 40.05, 'aqi': 33}","{'concentration': 2.98, 'aqi': 4}","{'concentration': 2.32, 'aqi': 7}","{'concentration': 3.43, 'aqi': 3}",33
High Point,"{'concentration': 440.6, 'aqi': 5}","{'concentration': 22.62, 'aqi': 28}","{'concentration': 18.24, 'aqi': 15}","{'concentration': 0.25, 'aqi': 0}","{'concentration': 7.77, 'aqi': 25}","{'concentration': 9.74, 'aqi': 9}",28
Alhambra,"{'concentration': 1348.5, 'aqi': 15}","{'concentration': 163.14, 'aqi': 147}","{'concentration': 0, 'aqi': 0}","{'concentration': 25.27, 'aqi': 37}","{'concentration': 114.48, 'aqi': 178}","{'concentration': 142.7, 'aqi': 94}",178
Billings,"{'concentration': 247, 'aqi': 2}","{'concentration': 6.6, 'aqi': 8}","{'concentration': 62.94, 'aqi': 62}","{'concentration': 2.71, 'aqi': 3}","{'concentration': 1.16, 'aqi': 3}","{'concentration': 3.36, 'aqi': 3}",62
Delray Beach,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 5.83, 'aqi': 7}","{'concentration': 71.53, 'aqi': 89}","{'concentration': 0.6, 'aqi': 0}","{'concentration': 3.39, 'aqi': 11}","{'concentration': 9.57, 'aqi': 8}",89
Eau Claire,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 4.67, 'aqi': 5}","{'concentration': 55.79, 'aqi': 47}","{'concentration': 0.86, 'aqi': 1}","{'concentration': 5.53, 'aqi': 17}","{'concentration': 6.44, 'aqi': 5}",47
San Francisco,"{'concentration': 223.64, 'aqi': 2}","{'concentration': 2.74, 'aqi': 3}","{'concentration': 72.96, 'aqi': 93}","{'concentration': 0.6, 'aqi': 0}","{'concentration': 2.2, 'aqi': 7}","{'concentration': 4.02, 'aqi': 3}",93
Winston-Salem,"{'concentration': 333.79, 'aqi': 3}","{'concentration': 10.54, 'aqi': 13}","{'concentration': 31.11, 'aqi': 26}","{'concentration': 0.14, 'aqi': 0}","{'concentration': 3.26, 'aqi': 10}","{'concentration': 5.11, 'aqi': 4}",26
Palm Bay,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 2.46, 'aqi': 3}","{'concentration': 65.8, 'aqi': 71}","{'concentration': 0.89, 'aqi': 1}","{'concentration': 4.03, 'aqi': 13}","{'concentration': 6.41, 'aqi': 5}",71
Coral Springs,"{'concentration': 247, 'aqi': 2}","{'concentration': 5.57, 'aqi': 6}","{'concentration': 67.23, 'aqi': 75}","{'concentration': 0.68, 'aqi': 1}","{'concentration': 2.75, 'aqi': 8}","{'concentration': 7.28, 'aqi': 6}",75
Clifton,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 6.68, 'aqi': 8}","{'concentration': 52.21, 'aqi': 44}","{'concentration': 0.59, 'aqi': 0}","{'concentration': 0.7, 'aqi': 2}","{'concentration': 1.56, 'aqi': 1}",44
Pawtucket,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 5.44, 'aqi': 6}","{'concentration': 47.21, 'aqi': 40}","{'concentration': 0.29, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 1, 'aqi': 0}",40
Marysville,"{'concentration': 440.6, 'aqi': 5}","{'concentration': 31.53, 'aqi': 39}","{'concentration': 2.71, 'aqi': 2}","{'concentration': 1.82, 'aqi': 2}","{'concentration': 10.51, 'aqi': 34}","{'concentration': 11.68, 'aqi': 10}",39
Cape Coral,"{'concentration': 257.02, 'aqi': 2}","{'concentration': 3, 'aqi': 3}","{'concentration': 67.95, 'aqi': 77}","{'concentration': 0.66, 'aqi': 0}","{'concentration': 4.34, 'aqi': 14}","{'concentration': 4.88, 'aqi': 4}",77
