city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Beaumont,"{'concentration': 323.77, 'aqi': 3}","{'concentration': 22.62, 'aqi': 28}","{'concentration': 37.19, 'aqi': 31}","{'concentration': 3.58, 'aqi': 5}","{'concentration': 6.78, 'aqi': 22}","{'concentration': 7.82, 'aqi': 7}",31
Woodbury,"{'concentration': 353.81, 'aqi': 4}","{'concentration': 23.99, 'aqi': 29}","{'concentration': 32.54, 'aqi': 27}","{'concentration': 3.93, 'aqi': 5}","{'concentration': 9.17, 'aqi': 29}","{'concentration': 11.53, 'aqi': 10}",29
Bridgeport,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 6.08, 'aqi': 7}","{'concentration': 57.94, 'aqi': 49}","{'concentration': 1.09, 'aqi': 1}","{'concentration': 0.59, 'aqi': 1}","{'concentration': 1.16, 'aqi': 1}",49
Lehigh Acres,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 3, 'aqi': 3}","{'concentration': 67.95, 'aqi': 77}","{'concentration': 1.01, 'aqi': 1}","{'concentration': 5.22, 'aqi': 16}","{'concentration': 5.89, 'aqi': 5}",77
Modesto,"{'concentration': 367.17, 'aqi': 4}","{'concentration': 20.56, 'aqi': 25}","{'concentration': 23.25, 'aqi': 19}","{'concentration': 0.33, 'aqi': 0}","{'concentration': 13.04, 'aqi': 42}","{'concentration': 18.17, 'aqi': 16}",42
Muncie,"{'concentration': 320.44, 'aqi': 3}","{'concentration': 13.71, 'aqi': 17}","{'concentration': 38.98, 'aqi': 33}","{'concentration': 2.47, 'aqi': 3}","{'concentration': 6.02, 'aqi': 19}","{'concentration': 7.49, 'aqi': 6}",33
Rialto,"{'concentration': 687.6, 'aqi': 7}","{'concentration': 97.33, 'aqi': 109}","{'concentration': 2.86, 'aqi': 2}","{'concentration': 7.33, 'aqi': 10}","{'concentration': 29.55, 'aqi': 78}","{'concentration': 40.98, 'aqi': 37}",109
Elk Grove,"{'concentration': 974.66, 'aqi': 11}","{'concentration': 78.14, 'aqi': 97}","{'concentration': 0, 'aqi': 0}","{'concentration': 8.58, 'aqi': 12}","{'concentration': 38.19, 'aqi': 95}","{'concentration': 45.45, 'aqi': 42}",97
Largo,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 7.97, 'aqi': 9}","{'concentration': 62.23, 'aqi': 60}","{'concentration': 2.47, 'aqi': 3}","{'concentration': 4.99, 'aqi': 16}","{'concentration': 5.86, 'aqi': 5}",60
Oshkosh,"{'concentration': 267.03, 'aqi': 3}","{'concentration': 6.51, 'aqi': 8}","{'concentration': 57.22, 'aqi': 48}","{'concentration': 2.12, 'aqi': 3}","{'concentration': 3.41, 'aqi': 11}","{'concentration': 3.91, 'aqi': 3}",48
Riverside,"{'concentration': 807.76, 'aqi': 9}","{'concentration': 112.41, 'aqi': 118}","{'concentration': 0.58, 'aqi': 0}","{'concentration': 10.61, 'aqi': 15}","{'concentration': 36.03, 'aqi': 91}","{'concentration': 48.22, 'aqi': 44}",118
Mission,"{'concentration': 300.41, 'aqi': 3}","{'concentration': 13.71, 'aqi': 17}","{'concentration': 62.94, 'aqi': 62}","{'concentration': 3.43, 'aqi': 5}","{'concentration': 3.44, 'aqi': 11}","{'concentration': 5.86, 'aqi': 5}",62
Bloomington,"{'concentration': 280.38, 'aqi': 3}","{'concentration': 12.68, 'aqi': 15}","{'concentration': 40.41, 'aqi': 34}","{'concentration': 6.2, 'aqi': 9}","{'concentration': 5.15, 'aqi': 16}","{'concentration': 5.92, 'aqi': 5}",34
South Gate,"{'concentration': 2029.42, 'aqi': 23}","{'concentration': 219.35, 'aqi': 202}","{'concentration': 0, 'aqi': 0}","{'concentration': 31.47, 'aqi': 46}","{'concentration': 158.56, 'aqi': 208}","{'concentration': 199.96, 'aqi': 122}",208
Cary,"{'concentration': 380.52, 'aqi': 4}","{'concentration': 22.96, 'aqi': 28}","{'concentration': 15.74, 'aqi': 13}","{'concentration': 0.86, 'aqi': 1}","{'concentration': 5.25, 'aqi': 17}","{'concentration': 7.55, 'aqi': 6}",28
Fargo,"{'concentration': 253.68, 'aqi': 2}","{'concentration': 2.08, 'aqi': 2}","{'concentration': 69.38, 'aqi': 82}","{'concentration': 0.34, 'aqi': 0}","{'concentration': 2.12, 'aqi': 6}","{'concentration': 2.31, 'aqi': 2}",82
Philadelphia,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 15.94, 'aqi': 19}","{'concentration': 52.21, 'aqi': 44}","{'concentration': 3.61, 'aqi': 5}","{'concentration': 2.17, 'aqi': 7}","{'concentration': 3.38, 'aqi': 3}",44
Chandler,"{'concentration': 1388.55, 'aqi': 15}","{'concentration': 138.46, 'aqi': 133}","{'concentration': 0, 'aqi': 0}","{'concentration': 18.36, 'aqi': 27}","{'concentration': 77.04, 'aqi': 156}","{'concentration': 94.62, 'aqi': 70}",156
Erie,"{'concentration': 250.34, 'aqi': 2}","{'concentration': 4.58, 'aqi': 5}","{'concentration': 69.38, 'aqi': 82}","{'concentration': 2.71, 'aqi': 3}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.97, 'aqi': 0}",82
Nashua,"{'concentration': 257.02, 'aqi': 2}","{'concentration': 1.33, 'aqi': 1}","{'concentration': 45.06, 'aqi': 38}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.61, 'aqi': 0}",38
Weston,"{'concentration': 220.3, 'aqi': 2}","{'concentration': 3.09, 'aqi': 3}","{'concentration': 62.23, 'aqi': 60}","{'concentration': 0.43, 'aqi': 0}","{'concentration': 1.18, 'aqi': 3}","{'concentration': 1.57, 'aqi': 1}",60
Dearborn,"{'concentration': 350.48, 'aqi': 3}","{'concentration': 26.05, 'aqi': 32}","{'concentration': 33.98, 'aqi': 28}","{'concentration': 3.79, 'aqi': 5}","{'concentration': 6.35, 'aqi': 20}","{'concentration': 9.02, 'aqi': 8}",32
Knoxville,"{'concentration': 574.11, 'aqi': 6}","{'concentration': 36.33, 'aqi': 45}","{'concentration': 0.59, 'aqi': 0}","{'concentration': 0.39, 'aqi': 0}","{'concentration': 14.32, 'aqi': 46}","{'concentration': 16.39, 'aqi': 15}",46
Southfield,"{'concentration': 300.41, 'aqi': 3}","{'concentration': 12.34, 'aqi': 15}","{'concentration': 47.92, 'aqi': 40}","{'concentration': 1.82, 'aqi': 2}","{'concentration': 4.16, 'aqi': 13}","{'concentration': 5.62, 'aqi': 5}",40
